Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Pathway,Gene Ontology (biological process),Gene Ontology (molecular function),PDB,Pfam
A5A616,reviewed,MGTS_ECOLI,Small protein MgtS,mgtS yneM b4599 JW1527.1,Escherichia coli (strain K12),31,,cellular response to magnesium starvation [GO:0010350]; magnesium ion homeostasis [GO:0010960],,5OQT;6F34;,PF22865;
O32583,reviewed,THIS_ECOLI,Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS),thiS thiG1 b4407 JW3955,Escherichia coli (strain K12),66,PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis.,thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837],nucleotide binding [GO:0000166]; sulfur carrier activity [GO:0097163],1F0Z;1ZUD;,PF02597;
P00350,reviewed,6PGD_ECOLI,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",gnd b2029 JW2011,Escherichia coli (strain K12),468,PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 3/3. {ECO:0000305|PubMed:19686854}.,"D-gluconate metabolic process [GO:0019521]; organic acid catabolic process [GO:0016054]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]",guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; protein homodimerization activity [GO:0042803],2ZYA;2ZYD;3FWN;,PF00393;PF03446;
P00363,reviewed,FRDA_ECOLI,Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit),frdA b4154 JW4115,Escherichia coli (strain K12),602,,anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; bacterial-type flagellum assembly [GO:0044780]; DNA damage response [GO:0006974]; fermentation [GO:0006113],electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104],1KF6;1KFY;1L0V;2B76;3CIR;3P4P;3P4Q;3P4R;3P4S;4KX6;5VPN;6AWF;6B58;,PF00890;PF02910;
P00370,reviewed,DHE4_ECOLI,NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4),gdhA b1761 JW1750,Escherichia coli (strain K12),447,,glutamate biosynthetic process [GO:0006537]; glutamate metabolic process [GO:0006536],glutamate dehydrogenase (NADP+) activity [GO:0004354]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802],2YFH;3SBO;4BHT;,PF00208;PF02812;
P00393,reviewed,NDH_ECOLI,Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase),ndh b1109 JW1095,Escherichia coli (strain K12),434,,aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070],cupric reductase (NADH) activity [GO:0008823]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136],,PF07992;
P00448,reviewed,SODM_ECOLI,Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD),sodA b3908 JW3879,Escherichia coli (strain K12),206,,cellular response to selenium ion [GO:0071291]; removal of superoxide radicals [GO:0019430]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; superoxide metabolic process [GO:0006801],antioxidant activity [GO:0016209]; DNA binding [GO:0003677]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; superoxide dismutase activity [GO:0004784],1D5N;1EN4;1EN5;1EN6;1I08;1I0H;1IX9;1IXB;1MMM;1VEW;1ZLZ;3K9S;3OT7;,PF02777;PF00081;
P00452,reviewed,RIR1_ECOLI,Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1),nrdA dnaF b2234 JW2228,Escherichia coli (strain K12),761,,2'-deoxyribonucleotide biosynthetic process [GO:0009265]; deoxyribonucleotide biosynthetic process [GO:0009263]; nucleobase-containing small molecule interconversion [GO:0015949]; ribonucleoside diphosphate metabolic process [GO:0009185],"ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]",1QFN;1R1R;1RLR;2R1R;2X0X;2XAK;2XAP;2XAV;2XAW;2XAX;2XAY;2XAZ;2XO4;2XO5;3R1R;3UUS;4ERM;4ERP;4R1R;5CNS;5CNT;5CNU;5CNV;5R1R;6R1R;6W4X;7R1R;8VHN;8VHO;8VHP;8VHQ;8VHR;8VHU;9DB2;,PF03477;PF02867;PF00317;
P00490,reviewed,PHSM_ECOLI,Maltodextrin phosphorylase (EC 2.4.1.1),malP b3417 JW5689,Escherichia coli (strain K12),797,,alpha-glucan catabolic process [GO:0030980]; glycogen catabolic process [GO:0005980],glycogen phosphorylase activity [GO:0008184]; maltodextrin phosphorylase activity [GO:0031220]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170],1AHP;1E4O;1L5V;1L5W;1L6I;1QM5;2ASV;2AV6;2AW3;2AZD;2ECP;8RVK;,PF00343;
P00509,reviewed,AAT_ECOLI,Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A),aspC b0928 JW0911,Escherichia coli (strain K12),396,,L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585],identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-tyrosine-2-oxoglutarate transaminase activity [GO:0004838]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170],1AAM;1AAW;1AHE;1AHF;1AHG;1AHX;1AHY;1AIA;1AIB;1AIC;1AMQ;1AMR;1AMS;1ARG;1ARH;1ARI;1ARS;1ART;1ASA;1ASB;1ASC;1ASD;1ASE;1ASF;1ASG;1ASL;1ASM;1ASN;1B4X;1BQA;1BQD;1C9C;1CQ6;1CQ7;1CQ8;1CZC;1CZE;1G4V;1G4X;1G7W;1G7X;1IX6;1IX7;1IX8;1QIR;1QIS;1QIT;1SPA;1TOE;1TOG;1TOI;1TOJ;1TOK;1X28;1X29;1X2A;1YOO;2AAT;2D5Y;2D61;2D63;2D64;2D65;2D66;2D7Y;2D7Z;2Q7W;2QA3;2QB2;2QB3;2QBT;3AAT;3QN6;3QPG;3ZZJ;3ZZK;4A00;4DBC;4F5F;4F5G;4F5H;4F5I;4F5J;4F5K;4F5L;4F5M;5EAA;5T4L;5VWQ;5VWR;8E9C;8E9D;8E9J;8E9K;8E9L;8E9M;8E9N;8E9O;8E9P;8E9Q;8E9R;8E9S;8E9T;8E9U;8E9V;,PF00155;
